Provincias	Tamaño de los municipios	Periodo	Total
02 Albacete	De 30.001 a 50.000	2016	1
02 Albacete	De 30.001 a 50.000	2015	1
02 Albacete	De 30.001 a 50.000	2014	1
02 Albacete	De 30.001 a 50.000	2013	1
02 Albacete	De 30.001 a 50.000	2012	1
02 Albacete	De 30.001 a 50.000	2011	1
02 Albacete	De 30.001 a 50.000	2010	1
02 Albacete	De 30.001 a 50.000	2009	1
02 Albacete	De 30.001 a 50.000	2008	1
02 Albacete	De 30.001 a 50.000	2007	1
02 Albacete	De 30.001 a 50.000	2006	1
02 Albacete	De 30.001 a 50.000	2005	0
02 Albacete	De 30.001 a 50.000	2004	0
02 Albacete	De 30.001 a 50.000	2003	0
02 Albacete	De 30.001 a 50.000	2002	0
02 Albacete	De 30.001 a 50.000	2001	0
02 Albacete	De 30.001 a 50.000	2000	0
02 Albacete	De 30.001 a 50.000	1999	0
02 Albacete	De 30.001 a 50.000	1998	0
02 Albacete	De 30.001 a 50.000	1997	""
02 Albacete	De 30.001 a 50.000	1996	0
02 Albacete	De 50.001 a 100.000	2021	0
02 Albacete	De 50.001 a 100.000	2020	0
02 Albacete	De 50.001 a 100.000	2019	0
02 Albacete	De 50.001 a 100.000	2018	0
02 Albacete	De 50.001 a 100.000	2017	0
02 Albacete	De 50.001 a 100.000	2016	0
02 Albacete	De 50.001 a 100.000	2015	0
02 Albacete	De 50.001 a 100.000	2014	0
02 Albacete	De 50.001 a 100.000	2013	0
02 Albacete	De 50.001 a 100.000	2012	0
02 Albacete	De 50.001 a 100.000	2011	0
02 Albacete	De 50.001 a 100.000	2010	0
02 Albacete	De 50.001 a 100.000	2009	0
02 Albacete	De 50.001 a 100.000	2008	0
02 Albacete	De 50.001 a 100.000	2007	0
02 Albacete	De 50.001 a 100.000	2006	0
02 Albacete	De 50.001 a 100.000	2005	0
02 Albacete	De 50.001 a 100.000	2004	0
02 Albacete	De 50.001 a 100.000	2003	0
02 Albacete	De 50.001 a 100.000	2002	0
02 Albacete	De 50.001 a 100.000	2001	0
02 Albacete	De 50.001 a 100.000	2000	0
02 Albacete	De 50.001 a 100.000	1999	0
02 Albacete	De 50.001 a 100.000	1998	0
02 Albacete	De 50.001 a 100.000	1997	""
02 Albacete	De 50.001 a 100.000	1996	0
